success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_sum,followed_instructions,view_history,rt,set_size,target_present,RT,response,target_position,distractor_positions,jitter,correct_response,test_part,correct,stimulus,key_press,responses
1.0,fullscreen,0,3717,0.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,,,
,instructions,1,33595,0.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,"[{""page_index"":0,""viewing_time"":3145.814999938011},{""page_index"":1,""viewing_time"":15558.474999968894},{""page_index"":2,""viewing_time"":8408.04000000935},{""page_index"":3,""viewing_time"":2759.805000037886}]",29874.284999910742,,,,,,,,,,,,,
,p5vs_yn,2,44146,0.0-2.0-1.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,3.0,1.0,8739.008167944849,j,"[-0.30000000000000004, -0.099999999999999]","[[-0.099999999999999, 0.099999999999999], [0.30000000000000004, -0.099999999999999]]",565.4018321074545,j,practice,1.0,,,
,html-keyboard-response,3,45152,0.0-2.0-1.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,4,48508,0.0-2.0-1.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,3.0,0.0,2041.7049711802974,f,"[-0.099999999999999, 0.099999999999999]","[[0.099999999999999, -0.30000000000000004], [-0.30000000000000004, 0.099999999999999]]",97.44502883404493,f,practice,1.0,,,
,html-keyboard-response,5,49511,0.0-2.0-1.0-1.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,6,51891,0.0-2.0-1.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,3.0,0.0,571.8245211290196,f,"[0.30000000000000004, 0.099999999999999]","[[0.30000000000000004, -0.30000000000000004], [0.099999999999999, -0.099999999999999]]",598.1654787901789,f,practice,1.0,,,
,html-keyboard-response,7,52894,0.0-2.0-1.0-1.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,8,55027,0.0-2.0-1.0-0.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,3.0,1.0,569.6854728274047,f,"[-0.099999999999999, -0.30000000000000004]","[[0.30000000000000004, 0.30000000000000004], [-0.30000000000000004, -0.30000000000000004]]",355.06952716968954,j,practice,0.0,,,
,html-keyboard-response,9,56531,0.0-2.0-1.0-1.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;border:0px;font-size:30px;text-align:center"">wrong.</div>",,
,p5vs_yn,10,59690,0.0-2.0-1.0-0.4,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,3.0,1.0,1218.4175007976592,j,"[-0.099999999999999, -0.30000000000000004]","[[-0.099999999999999, -0.099999999999999], [0.099999999999999, 0.30000000000000004]]",726.4874991960824,j,practice,1.0,,,
,html-keyboard-response,11,60694,0.0-2.0-1.0-1.4,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,12,63274,0.0-2.0-1.0-0.5,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,3.0,0.0,684.2175090685487,f,"[-0.099999999999999, 0.099999999999999]","[[0.099999999999999, -0.30000000000000004], [0.30000000000000004, 0.099999999999999]]",687.5474909320474,f,practice,1.0,,,
,html-keyboard-response,13,64279,0.0-2.0-1.0-1.5,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,instructions,14,78313,0.0-3.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,"[{""page_index"":0,""viewing_time"":9583.764999988489},{""page_index"":1,""viewing_time"":4438.970000017434}]",14023.455000016838,,,,,,,,,,,,,
,p5vs_yn,15,81378,0.0-4.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,8.0,0.0,930.5081222672015,j,"[0.16666666666666602, 0.33333333333333304]","[[0.33333333333333304, 0.16666666666666602], [0, -0.33333333333333304], [0.33333333333333304, -0.33333333333333304], [-0.33333333333333304, -0.33333333333333304], [0.16666666666666602, 0], [0, -0.16666666666666602], [0.33333333333333304, 0]]",927.4068777449429,f,absence1,0.0,,,
,html-keyboard-response,16,82880,0.0-4.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;border:0px;font-size:30px;text-align:center"">wrong.</div>",,
,p5vs_yn,17,84758,0.0-4.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,8.0,0.0,565.2838790090755,f,"[-0.16666666666666602, 0.33333333333333304]","[[0, 0.16666666666666602], [0.16666666666666602, -0.33333333333333304], [0, -0.16666666666666602], [0.33333333333333304, -0.33333333333333304], [0.16666666666666602, 0.16666666666666602], [-0.16666666666666602, -0.33333333333333304], [-0.33333333333333304, 0.16666666666666602]]",101.05112101882696,f,absence1,1.0,,,
,html-keyboard-response,18,85761,0.0-4.0-1.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
