success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,STUDY_ID,PROLIFIC_PID,SESSION_ID,followed_instructions,view_history,rt,set_size,target_present,RT,response,target_position,distractor_positions,jitter,correct_response,test_part,correct,stimulus,key_press,search_type,responses
1.0,fullscreen,0,7198,0.0-0.0,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,,,,,,,,,,,,,,,,
,instructions,1,30945,0.0-1.0,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,"[{""page_index"":0,""viewing_time"":2802.034999999989},{""page_index"":1,""viewing_time"":12576.57499999999},{""page_index"":2,""viewing_time"":5051.660000000029},{""page_index"":3,""viewing_time"":3312.8350000000028}]",23743.945,,,,,,,,,,,,,,
,p5vs_yn,2,33827,0.0-2.0-1.0-0.0,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,,,3.0,0.0,1242.6916095096603,f,"[-0.099999999999999, -0.099999999999999]","[[-0.30000000000000004, 0.30000000000000004], [0.099999999999999, 0.099999999999999]]",403.5333904903382,f,practice,1.0,,,,
,html-keyboard-response,3,34835,0.0-2.0-1.0-1.0,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,
,p5vs_yn,4,37122,0.0-2.0-1.0-0.1,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,,,3.0,1.0,740.2623570867436,j,"[0.099999999999999, -0.30000000000000004]","[[-0.30000000000000004, -0.30000000000000004], [-0.099999999999999, 0.099999999999999]]",329.3576429132372,j,practice,1.0,,,,
,html-keyboard-response,5,38145,0.0-2.0-1.0-1.1,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,
,p5vs_yn,6,40787,0.0-2.0-1.0-0.2,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,,,3.0,0.0,560.4881882897389,f,"[-0.099999999999999, -0.30000000000000004]","[[-0.30000000000000004, 0.30000000000000004], [0.30000000000000004, 0.099999999999999]]",866.4168117102236,f,practice,1.0,,,,
,html-keyboard-response,7,41790,0.0-2.0-1.0-1.2,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,
,p5vs_yn,8,44236,0.0-2.0-1.0-0.3,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,,,3.0,1.0,551.0163498480979,j,"[0.099999999999999, -0.30000000000000004]","[[-0.30000000000000004, 0.099999999999999], [0.099999999999999, 0.099999999999999]]",671.4286501519382,j,practice,1.0,,,,
,html-keyboard-response,9,45265,0.0-2.0-1.0-1.3,aaaab,5d6ebbf926b44400175f445a,"[191, 44, 230, 97, 27, 172, 94, 38, 227, 234, 149, 151, 225, 38, 54, 33, 10, 31, 221, 159, 234, 11, 147, 104, 176, 55, 124, 209, 27, 247, 81, 5]",5f96dd9824dc39060be2c67f,5d6ebbf926b44400175f445a,5f96f6ac156c7e036d366de8,True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,,
